$outgn
 [1] "GEN9"    "GEN116"  "GEN189"  "GEN238"  "GEN294"  "GEN327"  "GEN328" 
 [8] "GEN372"  "GEN385"  "GEN389"  "GEN461"  "GEN632"  "GEN645"  "GEN697" 
[15] "GEN732"  "GEN751"  "GEN767"  "GEN804"  "GEN893"  "GEN915"  "GEN929" 
[22] "GEN995"  "GEN1067" "GEN1078" "GEN1207" "GEN1237" "GEN1242"

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_solani..IFB0099Ds"        "GEN207" 
 "Dickeya_solani..RNS050512ADs"     "GEN208" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN208" 
 "Dickeya_solani..RNS050512ADs"     "GEN209" 
 "Dickeya_zeae..MS1Dz"              "GEN209" 
 "Dickeya_zeae..Ech586Dz"           "GEN210" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN211" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN211" 
 "Dickeya_aquatica..DW0440Da"       "GEN212" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN213" 
 "Dickeya_dianthicola..NCPPB453Dd"  "GEN213" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN214" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN215" 
 "Dickeya_sp..CSLRW240Ds"           "GEN216" 
 "Dickeya_sp..MK7Ds"                "GEN218" 
 "Dickeya_solani..RNS070773BDs"     "GEN219" 
 "Dickeya_zeae..Ech586Dz"           "GEN219" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN221" 
 "Dickeya_sp..B16Ds"                "GEN221" 
 "Dickeya_zeae..Ech586Dz"           "GEN222" 
 "Dickeya_aquatica..localstrainDa"  "GEN223" 
 "Dickeya_solani..RNS070773BDs"     "GEN225" 
 "Dickeya_sp..2B12Ds"               "GEN225" 
 "Dickeya_dadantii..3937Dd"         "GEN226" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN226" 
 "Dickeya_solani..RNS050512ADs"     "GEN226" 
 "Dickeya_zeae..MS1Dz"              "GEN226" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN226" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN226" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN227" 
 "Dickeya_zeae..DZ2QDz"             "GEN227" 
 "Dickeya_sp..2B12Ds"               "GEN227" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN227" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN228" 
 "Dickeya_chrysanthem..NCPPB3533Dc" "GEN229" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN229" 
 "Dickeya_sp..S1Ds"                 "GEN229" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN230" 
