$outgn
character(0)

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN178" 
 "Dickeya_solani..RNS08082331ADs"   "GEN179" 
 "Dickeya_solani..IPO2222Ds"        "GEN179" 
 "Dickeya_zeae..MS1Dz"              "GEN180" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN181" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN182" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN182" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN186" 
 "Dickeya_zeae..MK19Dz"             "GEN186" 
 "Dickeya_solani..PPO9134Ds"        "GEN188" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN188" 
 "Dickeya_chrysanthem..M074Dc"      "GEN188" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN189" 
 "Dickeya_zeae..DZ2QDz"             "GEN191" 
 "Dickeya_solani..RNS070773BDs"     "GEN193" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN193" 
 "Serratia_sp..ATCC39006Ss"         "GEN194" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN195" 
 "Dickeya_solani..RNS070773BDs"     "GEN197" 
 "Dickeya_solani..PPO9019Ds"        "GEN198" 
 "Dickeya_solani..PPO9019Ds"        "GEN199" 
 "Dickeya_sp..S1Ds"                 "GEN201" 
 "Dickeya_sp..S1Ds"                 "GEN205" 
 "Dickeya_solani..IFB0099Ds"        "GEN207" 
 "Dickeya_zeae..MK19Dz"             "GEN207" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN208" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN213" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN213" 
 "Dickeya_dianthicola..NCPPB453Dd"  "GEN213" 
 "Dickeya_zeae..DZ2QDz"             "GEN213" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN214" 
 "Dickeya_zeae..DZ2QDz"             "GEN216" 
 "Dickeya_sp..MK7Ds"                "GEN216" 
 "Dickeya_zeae..DZ2QDz"             "GEN217" 
 "Dickeya_sp..B16Ds"                "GEN218" 
 "Dickeya_sp..MK7Ds"                "GEN218" 
 "Dickeya_aquatica..localstrainDa"  "GEN219" 
 "Dickeya_zeae..Ech586Dz"           "GEN219" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN220" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN221" 
 "Dickeya_sp..B16Ds"                "GEN221" 
 "Dickeya_dadantii..3937Dd"         "GEN222" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN223" 
 "Dickeya_aquatica..localstrainDa"  "GEN223" 
 "Dickeya_zeae..MS1Dz"              "GEN224" 
 "Dickeya_solani..RNS070773BDs"     "GEN225" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN227" 
